Location,Property_Address,Property_Type,Property_Size,Tenure,Rent,Price
London,"Unit 30 Gemini Business Park, Valor Park, Hornet Way",Industrial,"18,557 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,Unit 1 Moreton Industrial Estate,Industrial,"9,224 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,Unit 5a Northend Trading Estate,Industrial,958 sq ft - To Let,To Let,Rent on Application,Price on Application
Ashford,"Unit 2, Entralon Gate",Industrial,"7,555 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Unit 3, Entralon Gate",Industrial,"7,104 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Unit 4, Entralon Gate",Industrial,"7,104 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Unit 5, Entralon Gate",Industrial,"17,110 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Various Units, Entralon Gate",Industrial,"7,104 to 17,110 sq ft - To Let",To Let,Rent on Application,Price on Application
London,"Unit 27, Gemini Business Park",Industrial,"34,721 sq ft - For Sale",For Sale,Rent on Application,Price on Application
Reigate,45 London Road,Offices,"2,052 to 12,087 sq ft - To Let",To Let,Rent on Application,Price on Application
Mitcham,"Unit 3 Falcon Business Centre, Wandle Way",Industrial,"2,467 sq ft - To Let",To Let,Rent on Application,Price on Application
Mitcham,"Unit 20 Mitcham Industrial Estate, Streatham Road",Industrial,"28,826 sq ft - To Let",To Let,Rent on Application,Price on Application
Chessington,"Unit 44 Barwell Business Park, Leatherhead Road",Industrial,"18,826 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,"Ground Floor Unit 2, White Oak Square",Offices,"1,757 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,"Osprey House, Crayfields Park, New Mill Road",Offices,"1,881 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,"Crayfields Park, Main Road",Other,"1,617 sq ft - To Let",To Let,Rent on Application,Price on Application
Sevenoaks,"Highland Suite, Great Hollanden Business Centre, Mill Lane",Offices,"1,512 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,"Building 3, Crayfields Park, New Mill Road",Offices,"689 to 18,000 sq ft - To Let",To Let,Rent on Application,Price on Application
Tunbridge Wells,"Unit 2A North Farm Industrial Estate, Longfield Road",Industrial,"9,335 sq ft - To Let",To Let,Rent on Application,Price on Application
Crayford,"Unit 7, Crayside Industrial Estate, Thames Road",Industrial,"8,762 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,Unit 5 Thurrock Business Centre,Industrial,938 sq ft - To Let,To Let,Rent on Application,Price on Application
West Thurrock,Unit 17 Thurrock Business Centre,Industrial,938 sq ft - To Let,To Let,Rent on Application,Price on Application
West Malling,18 Kings Hill Avenue,Offices,"6,997 to 11,356 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Second Floor Lakeview West, Galleon Boulevard",Offices,"9,887 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,Unit 1 Thurrock Trade Park,Industrial,"3,876 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,Unit 11 Thurrock Trade Park,Industrial,"4,842 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,Unit 3 Thurrock Trade Park,Industrial,"2,846 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,Units 6-8 Thurrock Trade Park,Industrial,"10,977 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,"Pt 1st Floor, 30 Tower View",Offices,"7,224 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,"Pt 1st Floor, 30 Tower View",Offices,"10,782 sq ft - To Let",To Let,Rent on Application,Price on Application
