Location,Property_Address,Property_Type,Property_Size,Tenure,Rent,Price
Leatherhead,"Arc Leatherhead The Office Park, Springfield Drive",Offices,"8,362 to 25,422 sq ft - To Let",To Let,Rent on Application,Price on Application
Betchworth,"Nionisle House, Station Road",Offices,"1,010 sq ft - For Sale",For Sale,Rent on Application,Price on Application
Dorking,"6 Dorking Office Park, Station Road",Offices,"2,420 sq ft - To Let",To Let,Rent on Application,Price on Application
Reigate,"Omnibus, Lesbourne Road",Offices,"4,152 to 11,003 sq ft - To Let",To Let,Rent on Application,Price on Application
Horley,"The Old Brewery, Station Road",Investment / Offices,"4,553 sq ft - For Sale",For Sale,Rent on Application,Price on Application
Crawley,"The Portland Building, 25 High Street",Offices,"2,981 to 14,230 sq ft - To Let",To Let,Rent on Application,Price on Application
Redhill,"Somerset House, 47-49 London Road",Offices,"1,500 to 20,000 sq ft - To Let",To Let,Rent on Application,Price on Application
Leatherhead,"Kings Court, 41-51 Kingston Road",Offices,"2,226 to 15,473 sq ft - To Let",To Let,Rent on Application,Price on Application
Redhill,"Units 10 & 17, Redhill 23 Business Park, 29 Holmethorpe Avenue",Industrial,"1,716 to 4,412 sq ft - To Let",To Let,Rent on Application,Price on Application
Coulsdon,"Unit B5 Redlands, Ullswater Crescent",Industrial,"20,025 sq ft - To Let",To Let,Rent on Application,Price on Application
Dorking,"Units 4 & 5 Tillingbourne Court, Station Road",Industrial,"2,450 to 4,900 sq ft - To Let",To Let,Rent on Application,Price on Application
Chessington,"Unit 50 Barwell Business Park, Leatherhead Road",Industrial,"14,136 sq ft - To Let",To Let,Rent on Application,Price on Application
Chessington,"Unit 24 Barwell Business Park, Leatherhead Road",Industrial,"5,015 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 10 Sidcup Logistics Park East,Industrial,"5,036 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,"Unit B6, J31 Park",Industrial,"15,091 sq ft - To Let",To Let,Rent on Application,Price on Application
Croydon,"Rear Yard, 48 Vulcan Way, New Addington",Open Storage,0.50 Acres - To Let,To Let,Rent on Application,Price on Application
London,234-238 Great Portland Street,Offices,"15,978 sq ft - To Let",To Let,Rent on Application,Price on Application
